nElements,Radix-Insert,Radix-Search,Red-Black-Insert,Red-Black-Search,AVL-Insert,AVL-Search,Splay-Insert,Splay-Search
50000,73.9133,17.2313,208.344,254.193,191.671,224.628,258.951,336.131
100000,51.401,18.7127,276.526,366.767,275.65,336.602,355.529,482.738
150000,43.8127,18.1118,354.839,430.893,332.341,400.284,438.98,587.164
200000,44.4108,19.3275,429.663,529.195,409.586,493.002,527.734,688.577
250000,40.6493,19.4568,469.325,567.295,431.815,476.913,539.763,703.805
300000,41.5798,20.3391,502.545,605.946,516.81,574.326,623.045,773.361
350000,40.3554,19.7357,516.084,631.865,510.373,590.472,671.414,815.558
400000,40.5122,19.8065,554.226,670.975,550.557,631.732,688.804,851.143
450000,39.8961,19.9955,557.469,641.361,527.813,617.241,714.256,862.444
500000,38.5272,19.8808,574.357,660.179,579.572,648.217,758.87,919.301
550000,39.8889,19.8156,616.719,707.001,559.145,632.069,774.915,926.169
600000,39.0793,19.3949,627.93,729.582,623.277,667.467,795.282,942.117
650000,38.1681,19.7029,627.391,714.457,599.24,676.994,796.783,948.855
700000,37.711,19.351,644.478,731.009,604.735,699.059,843.314,1013.37
750000,40.3415,19.6268,668.329,762.832,665.983,724.557,843.383,1022.82
800000,38.748,19.4603,652.993,766.609,646.3,717.912,868.769,1053.01
850000,38.2291,19.7487,695.98,779.964,648.804,720.928,853.304,1067.2
900000,40.0503,20.1835,719.505,807.941,664.288,730.137,911.037,1033.54
950000,38.2488,20.0921,699.2,782.621,661.301,742.85,928.343,1026.81
1000000,38.7137,19.6,723.214,806.755,680.345,757.609,922.159,1096.38
1050000,38.5789,19.8295,718.685,800.272,703.36,770.741,944.333,1088.32
